Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
11/27/2015,34416,23577,57993,9119,3538,12657,12194,17188,23577,40765,2181,4571
11/28/2015,34402,23505,57907,9147,3554,12701,12148,17125,23505,40630,2184,4576
11/29/2015,34430,23425,57855,9196,3576,12772,12118,17089,23425,40514,2181,4569
11/30/2015,34531,23436,57967,9254,3589,12843,12113,17093,23436,40529,2192,4595
12/01/2015,34366,23367,57733,9180,3573,12753,12070,17026,23367,40393,2187,4587
12/02/2015,34347,23406,57753,9164,3572,12736,12098,17043,23406,40449,2177,4568
12/03/2015,34354,23415,57769,9145,3579,12724,12122,17059,23415,40474,2179,4571
12/04/2015,34235,23402,57637,9025,3556,12581,12121,17060,23402,40462,2189,4594
12/05/2015,34320,23396,57716,9126,3582,12708,12112,17038,23396,40434,2180,4574
12/06/2015,34417,23419,57836,9189,3591,12780,12125,17054,23419,40473,2185,4583
12/07/2015,34517,23450,57967,9270,3588,12858,12151,17082,23450,40532,2182,4577
12/08/2015,34552,23426,57978,9280,3604,12884,12149,17085,23426,40511,2185,4583
12/09/2015,34554,23430,57984,9259,3600,12859,12153,17092,23430,40522,2195,4603
12/10/2015,34616,23454,58070,9272,3619,12891,12169,17120,23454,40574,2195,4605
12/11/2015,34457,23395,57852,9177,3592,12769,12151,17090,23395,40485,2192,4598
12/12/2015,34417,23413,57830,9146,3594,12740,12148,17085,23413,40498,2188,4592
12/13/2015,34551,23420,57971,9216,3621,12837,12166,17106,23420,40526,2195,4608
12/14/2015,34566,23432,57998,9241,3603,12844,12166,17108,23432,40540,2198,4614
12/15/2015,34562,23403,57965,9251,3617,12868,12148,17082,23403,40485,2198,4612
12/16/2015,34611,23415,58026,9259,3622,12881,12166,17106,23415,40521,2203,4624
12/17/2015,34575,23461,58036,9218,3631,12849,12185,17124,23461,40585,2192,4602
12/18/2015,34474,23407,57881,9189,3601,12790,12151,17063,23407,40470,2199,4621
12/19/2015,34442,23412,57854,9184,3592,12776,12160,17074,23412,40486,2186,4592
12/20/2015,34549,23404,57953,9258,3613,12871,12152,17074,23404,40478,2191,4604
12/21/2015,34587,23422,58009,9285,3615,12900,12158,17082,23422,40504,2192,4605
12/22/2015,34545,23440,57985,9259,3610,12869,12162,17087,23440,40527,2184,4589
12/23/2015,34486,23416,57902,9236,3609,12845,12150,17071,23416,40487,2175,4570
12/24/2015,34279,23410,57689,9052,3561,12613,12157,17086,23410,40496,2180,4580
12/25/2015,34313,23398,57711,9078,3557,12635,12158,17087,23398,40485,2185,4591
12/26/2015,34320,23379,57699,9116,3557,12673,12145,17063,23379,40442,2182,4584
12/27/2015,34392,23338,57730,9209,3568,12777,12121,17029,23338,40367,2183,4586
12/28/2015,34570,23326,57896,9304,3601,12905,12127,17049,23326,40375,2197,4616
12/29/2015,34517,23321,57838,9294,3593,12887,12113,17031,23321,40352,2189,4599
12/30/2015,34514,23400,57914,9274,3550,12824,12154,17080,23400,40480,2195,4610
12/31/2015,33960,23378,57338,8845,3440,12285,12152,17061,23378,40439,2197,4614
